latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.17122,108.13229,297.86,0.42,0.61,2012-01-22,1739,N,VIIRS,n,2,279.72,0.89,N,0
12.1043,108.17874,331.11,0.42,0.38,2012-01-30,0555,N,VIIRS,n,2,294.54,2.47,D,0
12.22068,108.10774,344.86,0.52,0.41,2012-02-03,0620,N,VIIRS,n,2,295.05,7.99,D,0
12.10792,108.24644,338.06,0.44,0.46,2012-02-08,0627,N,VIIRS,n,2,298.98,3.06,D,0
12.20307,108.14102,298.28,0.49,0.4,2012-02-11,1804,N,VIIRS,n,2,287.23,0.45,N,0
12.14964,108.10706,335.83,0.49,0.4,2012-02-26,0549,N,VIIRS,n,2,302.29,4.73,D,0
12.14781,108.10623,335.12,0.49,0.4,2012-02-26,0549,N,VIIRS,n,2,301.88,3.45,D,0
12.16618,108.11307,330.49,0.55,0.51,2012-02-29,0633,N,VIIRS,n,2,301.3,2.84,D,0
12.26527,108.11144,334.44,0.44,0.38,2012-03-01,0614,N,VIIRS,n,2,298.92,6.09,D,0
12.2647,108.10735,330.96,0.44,0.38,2012-03-01,0614,N,VIIRS,n,2,296.54,4.9,D,0
12.13735,108.17063,337.45,0.44,0.38,2012-03-01,0614,N,VIIRS,n,2,297.3,6.47,D,0
12.13381,108.17115,336.8,0.44,0.38,2012-03-01,0614,N,VIIRS,n,2,297.31,6.47,D,0
12.13669,108.17093,336.97,0.44,0.38,2012-03-01,0614,N,VIIRS,n,2,298.58,13.64,D,0
12.12568,108.14153,330.78,0.42,0.37,2012-03-02,0555,N,VIIRS,l,2,305.66,2.82,D,0
12.19879,108.11374,336.57,0.42,0.37,2012-03-02,0555,N,VIIRS,n,2,305.53,4.2,D,0
12.2667,108.1248,330.56,0.36,0.57,2012-03-05,0639,N,VIIRS,n,2,289.23,2.44,D,0
12.26711,108.12814,334.23,0.36,0.57,2012-03-05,0639,N,VIIRS,n,2,289.76,2.44,D,0
12.14522,108.18804,335.15,0.39,0.37,2012-03-12,0608,N,VIIRS,n,2,297.05,2.73,D,0
12.26371,108.21358,341.45,0.4,0.37,2012-03-12,0608,N,VIIRS,n,2,299.95,10.94,D,0
12.12483,108.17071,333.37,0.48,0.4,2012-03-13,0549,N,VIIRS,n,2,293.12,2.45,D,0
12.12116,108.17136,333.24,0.48,0.4,2012-03-13,0549,N,VIIRS,n,2,294,2.86,D,0
12.12843,108.28403,337.73,0.48,0.4,2012-03-13,0549,N,VIIRS,n,2,291.31,4.43,D,0
12.10572,108.16948,334.07,0.48,0.4,2012-03-13,0549,N,VIIRS,n,2,297.26,7.81,D,0
12.26986,108.12622,332.58,0.48,0.4,2012-03-13,0549,N,VIIRS,n,2,296.05,3.42,D,0
12.10798,108.23094,305.1,0.48,0.4,2012-03-14,1804,N,VIIRS,n,2,271.3,1.95,N,0
12.10863,108.22634,323.15,0.48,0.4,2012-03-14,1804,N,VIIRS,n,2,271.45,1.95,N,0
12.13756,108.29848,355.36,0.57,0.52,2012-03-16,0633,N,VIIRS,n,2,283.21,80.83,D,0
12.13269,108.10832,341.65,0.56,0.51,2012-03-16,0633,N,VIIRS,n,2,292.65,15.32,D,0
12.14228,108.18641,332.7,0.56,0.52,2012-03-16,0633,N,VIIRS,n,2,287.06,4.34,D,0
12.1423,108.18442,331.2,0.56,0.52,2012-03-16,0633,N,VIIRS,n,2,286.39,5.36,D,0
12.1278,108.10783,340.21,0.56,0.51,2012-03-16,0633,N,VIIRS,n,2,290.77,15.32,D,0
12.13211,108.10641,367,0.55,0.51,2012-03-16,0633,N,VIIRS,h,2,293.31,21.75,D,0
12.13978,108.188,313.55,0.65,0.73,2012-03-16,1727,N,VIIRS,n,2,286.19,2.35,N,0
12.14144,108.1885,315.96,0.65,0.73,2012-03-16,1727,N,VIIRS,n,2,286.01,2.85,N,0
12.1077,108.24825,335.67,0.45,0.39,2012-03-17,0614,N,VIIRS,l,2,306.33,38.05,D,0
12.129,108.16759,333.16,0.44,0.39,2012-03-17,0614,N,VIIRS,l,2,304.21,16.71,D,0
12.12528,108.29622,339.36,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,309.03,46.36,D,0
12.22393,108.11612,336.59,0.44,0.46,2012-03-27,0627,N,VIIRS,n,2,299.14,4.58,D,0
12.11967,108.13688,341.35,0.44,0.46,2012-03-27,0627,N,VIIRS,n,2,299.94,9.9,D,0
12.11037,108.23257,341.55,0.45,0.47,2012-03-27,0627,N,VIIRS,n,2,297.63,76.91,D,0
12.10896,108.28938,338.25,0.45,0.47,2012-03-27,0627,N,VIIRS,n,2,295.99,11.04,D,0
12.2558,108.1289,338.69,0.48,0.4,2012-03-29,0549,N,VIIRS,n,2,298.75,3.22,D,0
12.20647,108.19613,335.79,0.48,0.4,2012-03-29,0549,N,VIIRS,l,2,301.56,32.4,D,0
12.26756,108.15527,341.16,0.36,0.57,2012-04-06,0639,N,VIIRS,n,2,293.78,3.45,D,0
12.28096,108.1257,347.52,0.53,0.42,2012-04-07,0621,N,VIIRS,n,2,299.53,93.61,D,0
12.26496,108.18156,332.35,0.53,0.42,2012-04-07,0621,N,VIIRS,n,2,296.75,9.34,D,0
12.23061,108.10308,355.17,0.53,0.42,2012-04-07,0621,N,VIIRS,n,2,304.07,26.45,D,0
12.21269,108.14543,334.85,0.53,0.42,2012-04-07,0621,N,VIIRS,n,2,299.84,5.22,D,0
12.25361,108.10298,339.73,0.39,0.36,2012-04-08,0602,N,VIIRS,n,2,296.55,2.66,D,0
12.21623,108.17983,345.64,0.4,0.6,2012-04-10,0524,N,VIIRS,n,2,284.17,6.38,D,0
12.21694,108.18355,348.18,0.4,0.6,2012-04-10,0524,N,VIIRS,n,2,285.36,6.38,D,0
12.21216,108.15858,330.81,0.4,0.6,2012-04-10,0524,N,VIIRS,n,2,284.96,4.36,D,0
12.14379,108.13146,331.54,0.46,0.63,2012-04-11,0646,N,VIIRS,n,2,288.36,5.01,D,0
12.21032,108.157,367,0.46,0.63,2012-04-11,0646,N,VIIRS,h,2,291.08,11.11,D,0
12.14152,108.13132,331.34,0.46,0.63,2012-04-11,0646,N,VIIRS,n,2,289.69,4.96,D,0
12.21083,108.1613,352.1,0.46,0.63,2012-04-11,0646,N,VIIRS,n,2,290.98,11.11,D,0
12.19599,108.20768,353.17,0.45,0.47,2012-04-12,0627,N,VIIRS,n,2,293.99,21.58,D,0
12.26379,108.15788,341.45,0.44,0.46,2012-04-12,0627,N,VIIRS,n,2,295.02,6.6,D,0
12.29986,108.21807,336.47,0.45,0.47,2012-04-12,0627,N,VIIRS,n,2,294.08,16.74,D,0
12.29608,108.22284,330.03,0.45,0.47,2012-04-12,0627,N,VIIRS,n,2,290.94,2.73,D,0
12.26587,108.15767,340.34,0.44,0.46,2012-04-12,0627,N,VIIRS,n,2,295.03,6.16,D,0
12.15422,108.29383,335.02,0.62,0.54,2012-04-15,0530,N,VIIRS,n,2,269.03,5.93,D,0
12.26932,108.11291,348.88,0.44,0.39,2012-04-18,0614,N,VIIRS,n,2,301.92,15.78,D,0
12.28731,108.18879,333.24,0.45,0.39,2012-04-18,0614,N,VIIRS,n,2,294.79,8.3,D,0
12.28676,108.18485,333.38,0.45,0.39,2012-04-18,0614,N,VIIRS,n,2,298.68,8.3,D,0
12.28288,108.1064,339.34,0.44,0.38,2012-04-18,0614,N,VIIRS,n,2,298.7,3.7,D,0
12.22859,108.10637,338.06,0.44,0.38,2012-04-18,0614,N,VIIRS,n,2,301.57,2.48,D,0
12.27286,108.11231,341.7,0.44,0.39,2012-04-18,0614,N,VIIRS,n,2,298.45,15.78,D,0
12.19807,108.29343,332.1,0.41,0.37,2012-04-19,0555,N,VIIRS,l,2,298.72,17.27,D,0
12.15372,108.23504,336.82,0.41,0.37,2012-04-19,0555,N,VIIRS,n,2,295.64,4.22,D,0
12.12266,108.18793,344.44,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,296.32,6.27,D,0
12.18632,108.28837,335.2,0.49,0.48,2012-04-20,0536,N,VIIRS,n,2,296.91,11.02,D,0
12.16608,108.1989,340.73,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,297.83,19.61,D,0
12.16004,108.19077,332.5,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,297.55,18.24,D,0
12.16088,108.19553,343.48,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,300.18,58.72,D,0
12.16247,108.20462,335.19,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,296.1,52.26,D,0
12.17607,108.28211,340.08,0.49,0.48,2012-04-20,0536,N,VIIRS,n,2,297.59,3.79,D,0
12.15724,108.201,343.27,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,296.01,58.72,D,0
12.14536,108.21198,349.92,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,296.98,15.93,D,0
12.13445,108.17639,341.05,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,296.05,10.97,D,0
12.14167,108.21709,333.87,0.49,0.49,2012-04-20,0536,N,VIIRS,n,2,296.15,6.46,D,0
