latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.91423,108.86671,330.18,0.41,0.37,2012-01-24,0608,N,VIIRS,n,2,295.72,2.32,D,0
11.96399,108.83263,339.01,0.48,0.48,2012-02-08,0627,N,VIIRS,n,2,295.35,4.7,D,0
11.96027,108.8325,336.74,0.48,0.48,2012-02-08,0627,N,VIIRS,n,2,291.03,3.04,D,0
11.94901,108.85515,345.35,0.41,0.37,2012-02-09,0608,N,VIIRS,n,2,299.23,5.95,D,0
11.94846,108.85139,347,0.41,0.37,2012-02-09,0608,N,VIIRS,n,2,302.03,6.53,D,0
11.91358,108.86295,331.07,0.46,0.39,2012-02-10,0549,N,VIIRS,n,2,292.26,3.15,D,0
11.98102,108.83582,330.46,0.46,0.39,2012-02-10,0549,N,VIIRS,n,2,290.6,4.09,D,0
11.94915,108.83411,332.97,0.4,0.37,2012-02-15,0555,N,VIIRS,n,2,295.09,6.29,D,0
11.90514,108.84134,327.49,0.41,0.37,2012-03-13,1823,N,VIIRS,n,2,291.06,2.11,N,0
11.90171,108.84081,304.71,0.41,0.37,2012-03-13,1823,N,VIIRS,n,2,289.84,0.7,N,0
11.91812,108.82261,367,0.39,0.6,2012-04-06,0639,N,VIIRS,h,2,294.44,10.48,D,0
11.91695,108.84315,355.61,0.39,0.44,2012-04-07,0620,N,VIIRS,n,2,303.14,21.15,D,0
11.92664,108.82388,356.06,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,300.7,7.32,D,0
11.92712,108.82742,354.4,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,301.04,7.32,D,0
11.92758,108.83086,337.97,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,297.78,8.55,D,0
11.92311,108.82812,333.08,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,299.13,7.32,D,0
11.98205,108.80433,335.41,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,293.05,4.72,D,0
11.98251,108.80782,334.16,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,293.99,6.73,D,0
11.98296,108.81123,342.93,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,295.57,6.73,D,0
11.97892,108.81158,344.08,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,297.96,6.73,D,0
11.98813,108.88131,332.51,0.39,0.44,2012-04-07,0620,N,VIIRS,n,2,298.02,2.15,D,0
11.97844,108.80798,367,0.38,0.44,2012-04-07,0620,N,VIIRS,h,2,301.56,6.73,D,0
11.93554,108.82909,331.77,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,296.36,4.63,D,0
11.93064,108.8232,335.01,0.38,0.44,2012-04-07,0620,N,VIIRS,n,2,297.59,4.77,D,0
11.91898,108.83877,340.23,0.38,0.36,2012-04-08,0602,N,VIIRS,n,2,302.46,4.58,D,0
11.91513,108.83577,330.98,0.38,0.36,2012-04-08,0602,N,VIIRS,l,2,303.46,3.37,D,0
11.91566,108.83929,331.29,0.38,0.36,2012-04-08,0602,N,VIIRS,l,2,302.69,4.58,D,0
11.93013,108.82262,331.26,0.38,0.36,2012-04-08,0602,N,VIIRS,n,2,300.61,4.48,D,0
11.98579,108.80911,333.56,0.54,0.42,2012-04-09,0543,N,VIIRS,n,2,297.76,6.22,D,0
11.90826,108.84686,346.73,0.41,0.37,2012-04-13,0608,N,VIIRS,n,2,295.21,8.12,D,0
11.92762,108.82877,330.05,0.47,0.4,2012-04-18,0614,N,VIIRS,l,2,302.29,6.47,D,0
11.99139,108.89575,346.17,0.4,0.37,2012-05-05,0555,N,VIIRS,n,2,290.28,10.36,D,0
11.97899,108.8326,330.75,0.4,0.37,2013-01-16,0554,N,VIIRS,n,2,297.51,2.89,D,0
11.9634,108.83073,329.75,0.39,0.59,2013-01-19,0638,N,VIIRS,n,2,292.6,2.51,D,0
11.95023,108.87144,331.14,0.57,0.43,2013-01-20,0619,N,VIIRS,n,2,293.73,4.3,D,0
11.97167,108.83038,333.99,0.61,0.53,2013-01-30,0632,N,VIIRS,n,2,293.62,4.63,D,0
11.95517,108.83552,333.01,0.57,0.43,2013-02-05,0619,N,VIIRS,n,2,296.79,4.31,D,0
11.95234,108.84464,341.5,0.57,0.43,2013-02-05,0619,N,VIIRS,n,2,294.92,5.65,D,0
11.93709,108.88631,333.86,0.47,0.4,2013-02-16,0613,N,VIIRS,n,2,295.16,5.48,D,0
11.93668,108.88715,334.07,0.47,0.4,2013-02-16,0613,N,VIIRS,n,2,295.41,5.58,D,0
11.99658,108.86666,336.11,0.4,0.37,2013-02-17,0555,N,VIIRS,n,2,299.15,4.03,D,0
11.92257,108.84467,331.82,0.4,0.37,2013-02-17,0555,N,VIIRS,l,2,303.98,3.92,D,0
11.90491,108.88609,333.83,0.4,0.37,2013-02-17,0555,N,VIIRS,n,2,297.68,6.54,D,0
11.91738,108.81437,336.67,0.46,0.47,2013-02-18,0536,N,VIIRS,n,2,295.86,4.1,D,0
11.91626,108.81401,336.49,0.46,0.47,2013-02-18,0536,N,VIIRS,n,2,295.91,7.41,D,0
11.92396,108.83289,332.48,0.46,0.47,2013-02-18,0536,N,VIIRS,n,2,299.94,6.09,D,0
11.92085,108.83375,330.1,0.46,0.47,2013-02-18,0536,N,VIIRS,l,2,301.22,6.05,D,0
11.92009,108.82951,336.66,0.46,0.47,2013-02-18,0536,N,VIIRS,n,2,302.96,5.98,D,0
11.91673,108.81075,334.95,0.46,0.47,2013-02-18,0536,N,VIIRS,n,2,295.76,4.1,D,0
11.91707,108.81251,305.44,0.4,0.37,2013-02-18,1810,N,VIIRS,n,2,292.81,1,N,0
11.93017,108.82214,367,0.47,0.64,2013-02-19,0517,N,VIIRS,h,2,292.36,23.67,D,0
11.9448,108.89669,349.48,0.47,0.64,2013-02-19,0517,N,VIIRS,n,2,294.95,6.71,D,0
11.92937,108.81804,347.57,0.47,0.64,2013-02-19,0517,N,VIIRS,n,2,295.31,23.67,D,0
11.94407,108.89301,367,0.47,0.64,2013-02-19,0517,N,VIIRS,h,2,293.91,6.71,D,0
11.908,108.88528,347.4,0.57,0.52,2013-03-01,0530,N,VIIRS,n,2,297.59,13.5,D,0
11.94886,108.89381,350.57,0.45,0.47,2013-03-06,0536,N,VIIRS,n,2,296.25,6.43,D,0
11.92532,108.82205,302.68,0.4,0.37,2013-03-06,1810,N,VIIRS,n,2,290,0.52,N,0
11.92868,108.82259,302.62,0.4,0.37,2013-03-06,1810,N,VIIRS,n,2,290.21,0.5,N,0
11.9144,108.82365,332.82,0.4,0.6,2013-03-08,0639,N,VIIRS,n,2,300.72,3.27,D,0
11.91932,108.81802,350.54,0.39,0.6,2013-03-08,0639,N,VIIRS,n,2,301.36,6.11,D,0
11.93222,108.83127,352.06,0.4,0.6,2013-03-08,0639,N,VIIRS,n,2,301.91,4.02,D,0
11.93181,108.82793,335.52,0.4,0.6,2013-03-08,0639,N,VIIRS,n,2,301.66,4.02,D,0
11.9193,108.82214,367,0.4,0.6,2013-03-08,0639,N,VIIRS,h,2,304.09,15.36,D,0
11.91871,108.8171,345.02,0.4,0.6,2013-03-08,0639,N,VIIRS,n,2,300.87,7.64,D,0
11.93157,108.83087,367,0.4,0.6,2013-03-08,0639,N,VIIRS,h,2,302.66,11.95,D,0
11.91992,108.82282,346.78,0.4,0.6,2013-03-08,0639,N,VIIRS,n,2,303.77,12.07,D,0
11.90079,108.8603,347.03,0.39,0.44,2013-03-09,0620,N,VIIRS,n,2,299.6,8.14,D,0
11.90035,108.85703,341.34,0.39,0.44,2013-03-09,0620,N,VIIRS,n,2,298.69,3.02,D,0
11.92366,108.818,338.44,0.38,0.44,2013-03-09,0620,N,VIIRS,n,2,299.16,4.29,D,0
11.9254,108.81281,331.83,0.38,0.36,2013-03-10,0601,N,VIIRS,n,2,298.34,2.23,D,0
11.90261,108.8416,335.76,0.38,0.36,2013-03-10,0601,N,VIIRS,n,2,301.87,4.61,D,0
11.90386,108.82571,308.67,0.53,0.42,2013-03-12,1758,N,VIIRS,n,2,291.6,0.95,N,0
11.90451,108.82115,302.36,0.53,0.42,2013-03-12,1758,N,VIIRS,n,2,291.77,1.02,N,0
11.90658,108.87984,336.61,0.49,0.49,2013-03-14,0626,N,VIIRS,n,2,293.96,3.27,D,0
11.90724,108.84995,310.9,0.41,0.37,2013-03-16,1823,N,VIIRS,n,2,291.95,1.04,N,0
11.9563,108.83795,334.75,0.48,0.4,2013-03-20,0614,N,VIIRS,n,2,302.09,5.98,D,0
11.95681,108.84159,331.74,0.48,0.4,2013-03-20,0614,N,VIIRS,n,2,298.55,5.68,D,0
11.92325,108.80726,333.74,0.47,0.64,2013-03-23,0518,N,VIIRS,n,2,296.17,3.45,D,0
11.90437,108.83952,338.32,0.38,0.36,2013-03-26,0601,N,VIIRS,n,2,305.12,5.2,D,0
11.90105,108.84004,335.74,0.38,0.36,2013-03-26,0601,N,VIIRS,l,2,306.81,5.52,D,0
11.93088,108.83535,352.97,0.38,0.36,2013-03-26,0601,N,VIIRS,n,2,302.04,9.79,D,0
11.99829,108.83937,340.74,0.54,0.42,2013-03-27,0543,N,VIIRS,n,2,291.08,13.17,D,0
11.99712,108.85586,332.57,0.54,0.42,2013-03-27,0543,N,VIIRS,n,2,292.32,7.41,D,0
11.97979,108.80094,347.69,0.54,0.42,2013-03-27,0543,N,VIIRS,n,2,293.87,31.74,D,0
11.98408,108.82478,346.89,0.41,0.37,2013-03-31,0608,N,VIIRS,n,2,300.47,8.63,D,0
11.99088,108.86761,332.83,0.4,0.37,2013-04-06,0555,N,VIIRS,l,2,300.94,4.61,D,0
11.99807,108.82532,345.33,0.4,0.6,2013-04-25,0640,N,VIIRS,n,2,285.37,3.61,D,0
11.92486,108.82729,346.6,0.45,0.39,2013-05-03,0549,N,VIIRS,n,2,300.12,11.76,D,0
11.99516,108.89523,337.28,0.48,0.4,2013-05-23,0615,N,VIIRS,n,2,293.25,10.26,D,0
11.99578,108.89966,333.96,0.48,0.4,2013-05-23,0615,N,VIIRS,n,2,293.1,10.26,D,0
11.99145,108.89551,337.43,0.48,0.4,2013-05-23,0615,N,VIIRS,n,2,294.93,10.26,D,0
11.99336,108.8915,336.44,0.54,0.42,2013-08-18,0544,N,VIIRS,n,2,298.44,7.88,D,0
11.99595,108.89216,297.39,0.38,0.36,2013-08-18,1818,N,VIIRS,n,2,275.4,0.81,N,0
