latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.30579,108.77261,330.06,0.38,0.43,2012-03-06,0621,N,VIIRS,n,2,296.36,1.64,D,0
12.30672,108.87271,340.8,0.46,0.63,2012-03-20,0518,N,VIIRS,n,2,271.31,4.54,D,0
12.4998,108.72058,354.31,0.39,0.44,2012-04-07,0621,N,VIIRS,n,2,299.81,8.58,D,0
12.49932,108.86045,335.68,0.53,0.42,2012-04-09,0543,N,VIIRS,n,2,296.49,6.1,D,0
12.49945,108.83553,356.25,0.49,0.49,2012-04-12,0627,N,VIIRS,n,2,287.37,14.25,D,0
12.31384,108.78651,333.98,0.41,0.37,2012-04-13,0608,N,VIIRS,n,2,295.38,3.53,D,0
12.31412,108.78657,333.38,0.41,0.37,2012-04-13,0608,N,VIIRS,n,2,295.53,3.78,D,0
12.49348,108.84802,349.9,0.41,0.37,2012-04-13,0608,N,VIIRS,n,2,299.05,7.06,D,0
12.49692,108.8475,341.37,0.41,0.37,2012-04-13,0608,N,VIIRS,n,2,297.3,7.06,D,0
12.49844,108.73756,332.01,0.41,0.37,2012-04-13,0608,N,VIIRS,n,2,295.03,3.25,D,0
12.30039,108.80275,335.71,0.47,0.4,2012-05-04,0614,N,VIIRS,n,2,298.55,11.63,D,0
12.49606,108.84879,331.04,0.48,0.4,2012-05-04,0614,N,VIIRS,n,2,299.58,4.63,D,0
12.48824,108.83699,339.59,0.48,0.48,2012-07-17,0626,N,VIIRS,n,2,279.84,5.36,D,0
12.49013,108.83337,335.47,0.48,0.48,2012-07-17,0626,N,VIIRS,n,2,280.14,4.8,D,0
12.48637,108.8175,342.93,0.38,0.44,2012-08-13,0619,N,VIIRS,n,2,292.58,5.74,D,0
12.38752,108.88326,340.41,0.44,0.39,2013-02-28,0549,N,VIIRS,n,2,296.57,4.41,D,0
12.49904,108.8103,331.84,0.53,0.42,2013-03-11,0543,N,VIIRS,n,2,299.06,4.77,D,0
12.49963,108.80749,343.01,0.53,0.42,2013-03-11,0543,N,VIIRS,n,2,299.12,7.37,D,0
12.30904,108.76663,331.24,0.45,0.47,2013-03-22,0536,N,VIIRS,n,2,300.17,5.46,D,0
12.30602,108.7746,341.96,0.45,0.47,2013-03-22,0536,N,VIIRS,n,2,301.04,5.58,D,0
