datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,resolvedAddress,tz,tzOffset,queryCost,lat,lon,date
2012-02-13,1329066000,26.7,16.0,21.8,26.7,16.0,21.8,18.0,80.2,0.0,0.0,0.0,,0.0,0.0,,25.2,43.4,1014.1,48.8,20.0,,,,06:07:45,1329088065,17:50:28,1329130228,0.69,type_42,Clearingpm.,partly-cloudy-day,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-13
2012-02-14,1329152400,27.1,16.7,22.5,29.2,16.7,22.7,18.8,80.4,0.0,0.0,0.0,,0.0,0.0,,21.6,51.2,1012.6,64.0,20.0,,,,06:07:26,1329174446,17:50:46,1329216646,0.72,type_42,Variablecloud.,partly-cloudy-day,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-14
2012-02-15,1329238800,27.7,17.2,23.3,30.2,17.2,23.7,19.8,81.6,0.0,0.0,0.0,,0.0,0.0,,18.0,54.3,1010.3,80.9,20.0,,,,06:07:05,1329260825,17:51:02,1329303062,0.75,type_42,Variablecloud.,partly-cloudy-day,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-15
2012-02-16,1329325200,28.6,19.4,23.7,31.6,19.4,24.1,21.3,86.7,6.4,100.0,41.67,rain,0.0,0.0,,25.2,49.2,1010.8,93.2,20.0,,,,06:06:43,1329347203,17:51:18,1329389478,0.8,"type_21, type_41",Overcast with raindefinite.,rain,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-16
2012-02-17,1329411600,27.9,21.3,23.7,31.7,21.3,24.0,21.9,90.0,3.0,100.0,4.17,rain,0.0,0.0,,28.8,41.9,1011.7,95.7,20.0,,,,06:06:21,1329433581,17:51:33,1329475893,0.83,"type_21, type_41",Overcast with rainam.,rain,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-17
2012-02-18,1329498000,25.2,19.0,22.0,25.2,19.0,22.0,19.5,86.0,1.4,100.0,8.33,rain,0.0,0.0,,32.4,355.6,1013.1,98.3,17.5,,,,06:05:58,1329519958,17:51:48,1329562308,0.87,"type_21, type_41",Overcast with raindefinite.,rain,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-18
2012-02-19,1329584400,24.9,17.6,20.8,24.9,17.6,20.8,18.5,87.1,11.8,100.0,58.33,rain,0.0,0.0,,32.4,339.6,1013.2,98.8,20.0,,,,06:05:34,1329606334,17:52:02,1329648722,0.9,"type_21, type_41",Overcast with rainallday.,rain,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-19
2012-02-20,1329670800,26.9,17.3,21.5,28.7,17.3,21.5,18.6,84.2,0.6,100.0,25.0,rain,0.0,0.0,,21.6,340.1,1012.0,97.7,20.0,,,,06:05:09,1329692709,17:52:16,1329735136,0.94,"type_21, type_41",Overcast with rainallday.,rain,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-20
2012-02-21,1329757200,23.9,19.0,21.6,23.9,19.0,21.6,20.2,92.0,1.8,100.0,8.33,rain,0.0,0.0,,10.8,354.4,1010.2,97.3,16.9,,,,06:04:43,1329779083,17:52:29,1329821549,0.97,"type_21, type_41",Overcast with rainampm.,rain,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-21
2012-02-22,1329843600,25.9,20.1,22.8,25.9,20.1,22.8,21.3,91.4,11.9,100.0,8.33,rain,0.0,0.0,,9.0,117.2,1010.0,72.8,11.4,,,,06:04:17,1329865457,17:52:42,1329907962,0.0,"type_21, type_42",Variablecloud with rainclearinglater.,rain,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-22
2012-02-23,1329930000,29.2,20.1,24.5,33.1,20.1,25.1,21.9,86.3,0.0,0.0,0.0,,0.0,0.0,,14.4,126.7,1008.6,54.1,20.0,,,,06:03:49,1329951829,17:52:54,1329994374,0.04,type_42,Variablecloud.,partly-cloudy-day,"48877099999,remote",obs,"12.4,108.8",Asia/Ho_Chi_Minh,7.0,1,12.4,108.8,2012-02-23
