latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.25386,108.35623,330.36,0.39,0.44,2012-01-20,0543,N,VIIRS,n,2,296.29,1.64,D,0
12.24676,108.4232,316.39,0.4,0.37,2012-02-10,1823,N,VIIRS,n,2,286.78,1.47,N,0
12.24617,108.42684,297.91,0.4,0.37,2012-02-10,1823,N,VIIRS,n,2,284.64,0.47,N,0
12.2434,108.42258,298.77,0.4,0.37,2012-02-10,1823,N,VIIRS,n,2,285.45,0.53,N,0
12.22942,108.42355,299.45,0.4,0.37,2012-02-10,1823,N,VIIRS,n,2,284.21,0.27,N,0
12.17155,108.49603,330.57,0.41,0.37,2012-02-15,0555,N,VIIRS,n,2,295.15,5.36,D,0
12.16363,108.48998,333.75,0.41,0.37,2012-02-15,0555,N,VIIRS,n,2,293.59,5.76,D,0
12.16703,108.48943,345.57,0.41,0.37,2012-02-15,0555,N,VIIRS,n,2,296.41,5.76,D,0
12.12787,108.37239,334.21,0.41,0.37,2012-03-02,0555,N,VIIRS,n,2,298.27,7.35,D,0
12.13186,108.37558,331.03,0.41,0.37,2012-03-02,0555,N,VIIRS,l,2,302.25,7.35,D,0
12.27561,108.48403,334.13,0.4,0.37,2012-03-12,0608,N,VIIRS,n,2,296.77,3,D,0
12.10178,108.30225,341.2,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,295.73,13.12,D,0
12.11866,108.30087,333.97,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,303.35,6.39,D,0
12.11561,108.30508,348.62,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,318.95,44.63,D,0
12.11151,108.30176,331.35,0.45,0.39,2012-03-17,0614,N,VIIRS,l,2,302.61,13.79,D,0
12.11203,108.30552,338.93,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,301.06,19.15,D,0
12.10792,108.30215,337.31,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,304.41,13.79,D,0
12.11307,108.30486,356.6,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,315.07,24.35,D,0
12.10949,108.30527,339.23,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,297.11,24.35,D,0
12.10536,108.30188,331.11,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,295.53,13.12,D,0
12.1059,108.30566,332.85,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,296.35,22.9,D,0
12.12688,108.30762,333.24,0.45,0.39,2012-03-17,0614,N,VIIRS,n,2,299.79,3.79,D,0
12.2044,108.40711,339.58,0.46,0.47,2012-03-27,0627,N,VIIRS,n,2,281.93,3.4,D,0
12.22781,108.38221,343.85,0.46,0.47,2012-03-27,0627,N,VIIRS,n,2,266.99,36.42,D,0
12.22844,108.3871,356.3,0.46,0.47,2012-03-27,0627,N,VIIRS,n,2,268.19,36.42,D,0
12.22902,108.39168,336.08,0.46,0.47,2012-03-27,0627,N,VIIRS,n,2,269.31,28.38,D,0
